Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Camp Name,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Protection Event Context,Victim of Violence,Survivor or Victim Sex,Survivor or Victim Minor,Number of Attacks on Camps Reporting Destruction,Number of Attacks on Camps Reporting Damaged,Camp Resident Killed,Camp Resident Injured,Camp Residents Kidnapped,Camp Residents Arrested,Camp Residents Targeted with CRSV,Service Provider Killed,Service Provider Kidnapped,Service Provider Arrested,Service Provider Targeted with CRSV,SiND ID
2025-03-04,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Shelling,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,80,80,0,0,0,0,0,0,0,96822
2025-03-02,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Shelling,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,6,1,0,0,0,0,0,0,0,96821
2025-02-27,,Sudan,SDN,South Darfur State,11.9,24.8,(2) 25 km Precision ,Sakali Camp,NSA,Darfur rebels,Arson,Camp Arson/Fire,Camp Resident,Male,Adult,0,1,1,0,0,0,0,0,0,0,0,96819
2025-02-17,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Not Applicable,NSA,Armed group,Shelling,Airstrike/Shelling,Aid Worker,Male,Adult,0,0,0,0,0,0,0,1,0,0,0,93343
2025-02-15,,Sudan,SDN,East Darfur,11.8,26.2,(2) 25 km Precision ,El Neem Camp,NSA,Rapid Support Forces,Firearms,Camp Resident Kidnapped,Camp Resident,No Information,Adult,0,0,0,0,7,0,0,0,0,0,0,94322
2025-02-14,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Firearms,Violence Against Aid Operator,Aid Worker,No Information,Adult,0,1,0,0,0,0,0,0,0,0,0,94381
2025-02-11,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Shelling,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,1,1,0,0,0,0,0,0,0,94320
2025-02-11,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Firearms,Violence Against Aid Operator,"Aid Worker, Camp Resident",No Information,Adult,0,1,5,40,0,0,0,0,0,0,0,93410
2025-02-01,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Shelling,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,11,18,0,0,0,0,0,0,0,94319
2025-01-29,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,7,11,0,0,0,0,0,0,0,96783
2025-01-25,,Sudan,SDN,No Information,15,32,(6) Country,Unnamed Camp,No Information,"Unidentified, no further information available",No Information on the Weapon Used,CRSV in Protection Context,Camp Resident,Female,Adult,0,0,0,0,0,0,1,0,0,0,0,95317
2025-01-23,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,2,7,0,0,0,0,0,0,0,96781
2025-01-21,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Shelling,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,4,15,0,0,0,0,0,0,0,96780
2025-01-20,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Mortar,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,11,18,0,0,0,0,0,0,0,96779
2025-01-19,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Shelling,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,1,1,0,0,0,0,0,0,0,96778
2025-01-18,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Shelling,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,0,1,0,0,0,0,0,0,0,96772
2025-01-18,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,8,1,0,0,0,0,0,0,0,96782
2025-01-16,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,5,1,0,0,0,0,0,0,0,96806
2025-01-15,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,0,2,0,0,0,0,0,0,0,96805
2025-01-14,,Sudan,SDN,West Darfur,12.6,22.5,(2) 25 km Precision ,Dar el Salam Camp,Host Government: Military,Sudanese Armed Forces,Firearms,Targetted Attack on Camp,Camp Resident,No Information,Adult,0,0,13,0,0,0,0,0,0,0,0,96796
2025-01-14,,Sudan,SDN,North Darfur State,16.1,25.8,"(3) District, Communicipality or Commune ",None,NSA,Armed group,Firearms,Targetted Attack on Camp,Camp Resident,No Information,Adult,0,0,5,0,0,0,0,0,0,0,0,96795
2025-01-14,,Sudan,SDN,Aj Jazira,14.6,33.2,"(3) District, Communicipality or Commune ",None,Host Government: Military,Sudanese Armed Forces,Arson,Camp Arson/Fire,No Direct Victim Reported,No Direct Victim Reported,No Direct Victim Reported,0,0,0,0,0,0,0,0,0,0,0,96794
2025-01-13,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Shelling,Airstrike/Shelling,No Direct Victim Reported,No Direct Victim Reported,No Direct Victim Reported,0,0,0,0,0,0,0,0,0,0,0,88515
2025-01-13,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,Multiple,"Armed group, Sudan Police Force",Firearms,Targetted Attack on Camp,No Direct Victim Reported,No Direct Victim Reported,No Direct Victim Reported,0,0,0,0,0,0,0,0,0,0,0,96793
