state_code,state_name,report_date,idps,households,rank,hotspot,year,hotspot_intensity_rank,intensity_idps_minmax,intensity_idps_share,intensity_idps_global
SD08,Blue Nile,2024-04-25,147736.0,29836.0,17.0,False,2024,0.0,0.1165293711658713,0.0217680868318811,0.1985050581597677
SD09,White Nile,2024-04-25,532643.0,105920.0,5.0,True,2024,0.2,0.6866048762859419,0.0784820157198898,0.7156842590390504
SD10,Red Sea,2024-04-25,247874.0,49953.0,11.0,False,2024,0.0,0.2648410956388313,0.0365228702236807,0.33305519836934977
SD11,Kassala,2024-04-25,200083.0,40282.0,12.0,False,2024,0.0,0.194059118524377,0.0294811292953868,0.2688409565155467
SD12,Gedaref,2024-04-25,492293.0,97817.0,7.0,False,2024,0.0,0.6268435660692017,0.0725366652050092,0.6614680957697956
SD13,North Kordofan,2024-04-25,174007.0,34261.0,15.0,False,2024,0.0,0.1554386494980642,0.0256389741522386,0.23380401293663494
SD14,Sennar,2024-04-25,523986.0,104002.0,6.0,False,2024,0.0,0.6737832241782264,0.0772064543962883,0.7040523054969949
SD15,Aj Jazirah,2024-04-25,371177.0,73323.0,10.0,False,2024,0.0,0.4474618845769906,0.0546908889234657,0.498730925248877
SD16,River Nile,2024-04-25,698334.0,137799.0,2.0,True,2024,0.8,0.93200540295563,0.1028956730225189,0.9383145021182597
SD17,Northern,2024-04-25,399867.0,80305.0,9.0,False,2024,0.0,0.489953879375461,0.0589182025857191,0.5372801625275616
SD18,West Kordofan,2024-04-25,148718.0,29340.0,16.0,False,2024,0.0,0.1179837852088165,0.0219127791294179,0.19982451967972825
