state_code,month,rain_total,rain_total_avg,n_localities_reporting,rain_anom,rain_anom_pct,rain_anom_z,rain_deficit_3mo,drought_flag,coverage_flag_low,state_clean
SD16,2020-10,21.081506314,22.193098764,6,-1.1115924499999998,-0.050087302445710864,-0.05146360337774238,127.889090896,0,0,river nile
SD16,2020-11,0.233468244,0.24350624727,6,-0.010038003270000012,-0.04122277511373194,-0.024210081856007763,13.387001992730015,0,0,river nile
SD16,2020-12,0.099321669,0.1132854405,6,-0.0139637715,-0.12326183698778131,-0.02430720915576426,-1.1355942247699857,1,0,river nile
SD16,2021-01,0.0616755525,0.06664163570000001,6,-0.004966083200000006,-0.07451922732442783,-0.02408459765212243,-0.028967857969985807,1,0,river nile
SD16,2021-02,0.004004906,0.0055267701999999995,6,-0.0015218641999999996,-0.27536230835144904,-0.023999384345671063,-0.020451718899985795,1,0,river nile
SD16,2021-03,0.1321618985,0.169220624,6,-0.03705872549999997,-0.218996506596028,-0.02487860063600468,-0.04354667289998577,1,0,river nile
SD16,2021-04,0.3740970777,0.32471444484,6,0.04938263286,0.1520801850510002,-0.02273995789580641,0.010802043160014235,0,0,river nile
SD16,2021-05,20.729571276,22.142438900000002,6,-1.4128676240000004,-0.06380813018750163,-0.058917442325919125,-1.4005437166399861,1,0,river nile
SD16,2021-06,33.80649579926,22.4622175493,6,11.344278249959999,0.5050382147293166,0.25670667472428,9.980793258820013,0,0,river nile
SD16,2021-07,208.2817416,160.26584880000001,6,48.01589279999999,0.2996015255871529,1.1639978570558602,57.94730342596,0,0,river nile
SD16,2021-08,240.5515723,152.5187199,6,88.0328524,0.5771937533813513,2.1540561087659555,147.39302344996,0,0,river nile
SD16,2021-09,70.453586906,45.724509143,6,24.729077763,0.5408276267255631,0.5878595493512297,160.77782296299998,0,0,river nile
SD16,2021-10,23.795981174,22.193098764,6,1.602882410000003,0.07222436249416779,0.015695127846870893,114.36481257300001,0,0,river nile
SD16,2021-11,0.245482961,0.24350624727,6,0.001976713729999996,0.00811771259325521,-0.02391282614676064,26.333936886730015,0,0,river nile
SD16,2021-12,0.100923633,0.1132854405,6,-0.012361807500000002,-0.1091208847795406,-0.024267575018313635,1.5924973162300171,0,0,river nile
SD16,2022-01,0.0616755525,0.06664163570000001,6,-0.004966083200000006,-0.07451922732442783,-0.02408459765212243,-0.015351176969985801,1,0,river nile
SD16,2022-02,0.004004906,0.0055267701999999995,6,-0.0015218641999999996,-0.27536230835144904,-0.023999384345671063,-0.018849754899985798,1,0,river nile
SD16,2022-03,0.1321618985,0.169220624,6,-0.03705872549999997,-0.218996506596028,-0.02487860063600468,-0.04354667289998577,1,0,river nile
SD16,2022-04,0.3346482947,0.32471444484,6,0.00993384986000001,0.0305925714665845,-0.023715958909363444,-0.028646739839985752,1,0,river nile
SD16,2022-05,18.6603967,22.142438900000002,6,-3.482042200000002,-0.1572564890311158,-0.11011082092526525,-3.5091670756399878,1,0,river nile
SD16,2022-06,23.37159345596,22.4622175493,6,0.9093759066599993,0.04048468966450459,-0.001462893229932384,-2.5627324434799883,1,0,river nile
SD16,2022-07,173.40367527,160.26584880000001,6,13.137826469999993,0.08197520911891237,0.3010807909200179,10.565160176660005,0,0,river nile
SD16,2022-08,235.3710045,152.5187199,6,82.85228459999999,0.543226986525475,2.0258838550464695,96.89948697666,0,0,river nile
SD16,2022-09,58.400935904,45.724509143,6,12.676426761000002,0.2772348352905314,0.2896653162363271,108.666537831,0,0,river nile
SD16,2022-10,22.026481484,22.193098764,6,-0.16661727999999698,-0.007507616749323496,-0.028084004475889462,95.36209408100001,0,0,river nile
SD16,2022-11,0.234269226,0.24350624727,6,-0.009237021270000007,-0.037933405707484734,-0.02419026478728245,12.50057245973002,0,0,river nile
SD16,2022-12,0.099321669,0.1132854405,6,-0.0139637715,-0.12326183698778131,-0.02430720915576426,-0.18981807276998278,1,0,river nile
SD16,2023-01,0.0616755525,0.06664163570000001,6,-0.004966083200000006,-0.07451922732442783,-0.02408459765212243,-0.0281668759699858,1,0,river nile
SD16,2023-02,0.004004906,0.0055267701999999995,6,-0.0015218641999999996,-0.27536230835144904,-0.023999384345671063,-0.020451718899985795,1,0,river nile
SD16,2023-03,0.248304168,0.169220624,6,0.079083544,0.46733986750929374,-0.022005128652120808,0.07259559660001422,0,0,river nile
SD16,2023-04,0.9632629642,0.32471444484,6,0.63854851936,1.96649249673706,-0.008163424511310646,0.7161101991600143,0,0,river nile
SD16,2023-05,25.14352732,22.142438900000002,6,3.0010884199999985,0.13553558546795846,0.05028809571920128,3.7187204833600127,0,0,river nile
SD16,2023-06,24.5503153857,22.4622175493,6,2.0880978363999994,0.09296044933306559,0.027699826393842678,5.7277347757600126,0,0,river nile
SD16,2023-07,134.27773013,160.26584880000001,6,-25.988118670000006,-0.1621563100597387,-0.6669329019996583,-20.898932413599994,1,0,river nile
SD16,2023-08,286.5366916,152.5187199,6,134.01797169999998,0.878698508536328,3.2917723989070513,110.11795086639998,0,0,river nile
SD16,2023-09,40.598135764,45.724509143,6,-5.126373379,-0.11211434469351325,-0.1507931633267389,102.90347965099998,0,0,river nile
SD16,2023-10,23.299945114,22.193098764,6,1.1068463500000014,0.04987344767714212,0.003422716367894729,129.998444671,0,0,river nile
SD16,2023-11,0.375971969,0.24350624727,6,0.13246572173,0.543993113996463,-0.020684401988123043,-3.887061307269999,1,0,river nile
SD16,2023-12,0.1097344255,0.1132854405,6,-0.0035510150000000046,-0.031345731493183406,-0.02404958749737438,1.2357610567300015,0,0,river nile
SD16,2024-01,0.1137393332,0.06664163570000001,6,0.047097697499999994,0.7067308148320254,-0.022796489404706757,0.17601240423,0,0,river nile
SD16,2024-02,0.004004906,0.0055267701999999995,6,-0.0015218641999999996,-0.27536230835144904,-0.023999384345671063,0.04202481829999999,0,0,river nile
SD16,2024-03,0.2883532285,0.169220624,6,0.11913260450000002,0.7040075948425768,-0.021014276193123356,0.1647084378,0,0,river nile
